Gene,TSS,Phenotype,P Value,Gene Score,Hit Class,External
KCNQ2,KCNQ2,0.16610206,0.632386216,0.033057234,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KCNQ2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ2)
KCND2,KCND2,-0.525295245,0.865211056,-0.033029483,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KCND2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCND2)
PYCR1,PYCR1,0.153849656,0.61058851,0.0329625,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PYCR1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYCR1)
NDUFV3,NDUFV3,0.749472282,0.90419457,0.032780498,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFV3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFV3)
GSK3A,GSK3A,1.084011752,0.933589838,0.032351121,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GSK3A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3A)
EPHA2,EPHA2,-1.082904001,0.933589838,-0.032318062,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EPHA2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA2)
FCGR3B,FCGR3B,0.413334753,0.836181915,0.032115792,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FCGR3B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3B)
CEACAM1,CEACAM1_P1,-0.772626002,0.909085774,-0.03198296,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CEACAM1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM1)
GK5,GK5,-0.08157373,0.406422864,-0.031897112,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GK5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GK5)
TNK2,TNK2_P2,-0.239745418,0.736567148,-0.031835232,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TNK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNK2)
RET,RET_P1,-0.112183857,0.522916179,-0.031587375,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RET+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET)
CD52,CD52,0.684256878,0.899306999,0.031538786,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CD52+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD52)
ARF6,ARF6_P2,-0.518743195,0.870068091,-0.031356345,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ARF6+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARF6)
RAB5A,RAB5A,-1.131408778,0.938498965,-0.031188643,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RAB5A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB5A)
SH3KBP1,SH3KBP1,-0.611312675,0.889543486,-0.031074745,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SH3KBP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3KBP1)
PNP,PNP,-0.285362784,0.778825426,-0.030978949,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PNP+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNP)
LDHAL6B,LDHAL6B,-0.177898651,0.670650525,-0.03086608,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LDHAL6B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDHAL6B)
CTRB1,CTRB1,-3.163470001,0.977840507,-0.030786814,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CTRB1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTRB1)
PTPRK,PTPRK_P1,0.53017478,0.874930032,0.03076428,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PTPRK+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRK)
ACVR2A,ACVR2A,-0.022011468,0.040737376,-0.030596093,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ACVR2A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR2A)
BRD2,BRD2_P2,0.433364993,0.850671186,0.030438811,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=BRD2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD2)
SLC7A8,SLC7A8,0.141887808,0.61058851,0.030399658,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC7A8+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A8)
AKT3,AKT3,0.018686414,0.024066933,0.030245441,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=AKT3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT3)
PRSS1,PRSS1_P1,0.543304301,0.879796699,0.03021732,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PRSS1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRSS1)
GSTO2,GSTO2,-0.136961061,0.601963743,-0.030190281,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GSTO2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTO2)
PPP1R16B,PPP1R16B,-1.010464643,0.933589838,-0.03015619,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPP1R16B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R16B)
IDE,IDE,-0.017618619,0.019475511,-0.030136843,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=IDE+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDE)
EGLN1,EGLN1,-0.872849829,0.923779342,-0.030053751,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EGLN1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGLN1)
DAPK1,DAPK1,-0.047288067,0.232327712,-0.029975858,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DAPK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAPK1)
PTPRR,PTPRR,-0.373001884,0.831364228,-0.029917984,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PTPRR+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRR)
ROCK2,ROCK2,0.140502218,0.614921351,0.029671318,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ROCK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROCK2)
MYL6B,MYL6B,0.861663401,0.923779342,0.029668582,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MYL6B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYL6B)
SIRT3,SIRT3,-0.511270449,0.874930032,-0.029667325,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SIRT3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT3)
SLC1A2,SLC1A2,0.406452199,0.84583557,0.029554788,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC1A2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A2)
KHK,KHK,0.609714617,0.894423243,0.029544895,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KHK+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KHK)
PACSIN2,PACSIN2,-0.419151333,0.850671186,-0.029440468,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PACSIN2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PACSIN2)
CDC42BPG,CDC42BPG,0.119725612,0.568027531,0.029408276,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CDC42BPG+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42BPG)
TPTE,TPTE,-0.07942543,0.427678857,-0.029298629,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TPTE+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPTE)
CCBL2,CCBL2,1.062437933,0.938498965,0.029287379,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CCBL2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCBL2)
TRAPPC6B,TRAPPC6B,-0.549424145,0.884667911,-0.029240202,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TRAPPC6B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC6B)
ALDH18A1,ALDH18A1,0.191730956,0.704234577,0.029197299,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ALDH18A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH18A1)
GK2,GK2,0.302089755,0.802597099,0.028850301,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GK2)
FLT1,FLT1,1.249411028,0.948324048,0.028790474,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FLT1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1)
FN3KRP,FN3KRP,-0.961435051,0.933589838,-0.028692956,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FN3KRP+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FN3KRP)
PIK3CG,PIK3CG,0.537406003,0.884667911,0.0286006,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PIK3CG+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG)
CD33,CD33,-0.162965864,0.667929985,-0.028562874,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CD33+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD33)
CHRM1,CHRM1,0.147965888,0.641196976,0.028558679,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CHRM1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRM1)
GSTA4,GSTA4_P2,0.048305017,0.257357513,0.028474027,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GSTA4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTA4)
DGKE,DGKE,-0.249624336,0.769373037,-0.028422985,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DGKE+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGKE)
SUCLA2,SUCLA2,-0.138591807,0.623627334,-0.028421695,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SUCLA2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLA2)
CDK11B,"CDK11B_ENST00000317673.7,ENST00000340677.5,ENST00000407249.3",0.377614464,0.841005754,0.028396998,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CDK11B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK11B)
TRAPPC2,"TRAPPC2_ENST00000358231.5,ENST00000359680.5,ENST00000380579.1",0.94926618,0.933589838,0.02832979,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TRAPPC2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC2)
CDKN2D,CDKN2D,1.226856581,0.948324048,0.028270746,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CDKN2D+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2D)
STK31,STK31,-0.681796232,0.909085774,-0.028223049,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=STK31+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK31)
ARPC1B,ARPC1B,-0.04162403,0.211991795,-0.028041316,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ARPC1B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARPC1B)
MMP12,MMP12,-0.22470912,0.750572018,-0.028000471,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MMP12+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP12)
UGCG,UGCG,-0.27061704,0.788310644,-0.027955446,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=UGCG+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGCG)
CYB5R1,CYB5R1,-0.368970413,0.841005754,-0.027746956,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CYB5R1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5R1)
NAGA,NAGA,-0.203117138,0.731917975,-0.027530007,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NAGA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAGA)
DCK,DCK,-1.088055933,0.94341043,-0.027527082,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DCK+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCK)
SCYL1,SCYL1,-0.453576828,0.870068091,-0.027417249,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SCYL1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCYL1)
KRT8,KRT8_P2,0.188571154,0.718030001,0.027127358,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KRT8+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT8)
ROR1,ROR1,0.289339775,0.807374208,0.026886936,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ROR1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROR1)
TNK2,TNK2_P1,-0.067427265,0.399480109,-0.026870092,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TNK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNK2)
PKN1,PKN1_P2,0.682953008,0.913980427,0.026678265,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PKN1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKN1)
PTPN6,PTPN6,-0.050320752,0.298306915,-0.026435337,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PTPN6+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN6)
STRADA,STRADA,0.082699638,0.479719067,0.026382261,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=STRADA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=STRADA)
CLK1,CLK1,0.098051916,0.539105271,0.02630992,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CLK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLK1)
CACNA1I,CACNA1I,0.112719569,0.589130679,0.025901645,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CACNA1I+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1I)
PTPRG,PTPRG,-0.115534337,0.597672058,-0.025826204,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PTPRG+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRG)
RPS6KC1,RPS6KC1,-0.395283934,0.860359107,-0.025820041,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RPS6KC1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KC1)
UGP2,UGP2,0.749381481,0.923779342,0.025802519,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=UGP2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGP2)
MMP19,MMP19,0.934411484,0.938498965,0.025758176,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MMP19+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP19)
TTBK1,TTBK1,-0.050507796,0.309924299,-0.025695557,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TTBK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTBK1)
SSTR1,SSTR1,-0.090317664,0.522916179,-0.025430557,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SSTR1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSTR1)
NR3C2,NR3C2,0.257505683,0.797827355,0.02525901,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NR3C2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C2)
DUSP11,DUSP11,0.116149953,0.606269267,0.025243386,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DUSP11+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP11)
SUCNR1,SUCNR1,-0.271534113,0.807374208,-0.025232342,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SUCNR1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCNR1)
SIRPD,SIRPD,-0.072882461,0.453277485,-0.025045027,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SIRPD+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRPD)
TNK1,TNK1,0.320937793,0.836181915,0.024936619,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TNK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNK1)
PI4K2B,PI4K2B,-0.300609737,0.826552871,-0.024869252,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PI4K2B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PI4K2B)
SLC9A1,SLC9A1,-0.039733597,0.242124095,-0.024474385,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC9A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A1)
LCT,LCT,0.075853399,0.475890926,0.024462158,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LCT+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCT)
EPHB3,EPHB3,0.118819441,0.623627334,0.02436688,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=EPHB3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHB3)
GALE,GALE,0.159842384,0.704234577,0.024341223,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GALE+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALE)
HPGDS,HPGDS,-0.024410378,0.102546057,-0.024143842,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HPGDS+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPGDS)
LIPT1,LIPT1,0.265368866,0.812158512,0.023978518,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LIPT1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPT1)
INS,INS,0.143643862,0.681458914,0.023925368,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=INS+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS)
MAST1,MAST1_P2,0.138110575,0.672427921,0.023803946,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MAST1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAST1)
DRD2,DRD2,-0.940113651,0.94341043,-0.023784242,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DRD2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2)
ALDH5A1,ALDH5A1,-0.738981375,0.928683235,-0.023745241,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ALDH5A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH5A1)
SLC22A4,SLC22A4,-0.107502268,0.601963743,-0.023696689,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC22A4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A4)
PKIB,PKIB_P1,0.073183912,0.475890926,0.023601268,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PKIB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKIB)
SLC13A3,SLC13A3,0.462656714,0.889543486,0.023518144,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC13A3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC13A3)
CTSG,CTSG,0.460132507,0.889543486,0.023389831,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CTSG+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSG)
CDK3,CDK3,-1.24977422,0.958156996,-0.023199965,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CDK3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK3)
PLEKHA1,PLEKHA1,0.042457564,0.284199267,0.023197838,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PLEKHA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHA1)
SLC6A8,SLC6A8,-0.721778619,0.928683235,-0.023192475,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC6A8+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A8)
ENOPH1,ENOPH1,0.076732336,0.49910932,0.023158151,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ENOPH1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENOPH1)
ALDH9A1,ALDH9A1,-0.98146529,0.947624751,-0.022930567,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ALDH9A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH9A1)
ROS1,ROS1,0.239069874,0.802597099,0.02283175,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ROS1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROS1)
DMPK,DMPK,-0.1897697,0.758306736,-0.022801795,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DMPK+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMPK)
FGA,FGA,0.178437997,0.745894328,0.022719207,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FGA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGA)
PLK3,PLK3,0.337118157,0.85793507,0.022433723,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PLK3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLK3)
SLC16A1,SLC16A1_P2,-0.058062267,0.412561377,-0.022325605,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC16A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A1)
SGPP1,SGPP1,-1.201963151,0.958156996,-0.022312433,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SGPP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGPP1)
LMAN1,LMAN1,0.083898184,0.543191435,0.022236969,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LMAN1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMAN1)
NQO1,NQO1_P1,-0.166270946,0.736567148,-0.022078729,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NQO1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NQO1)
GCH1,GCH1,-0.348504339,0.865211056,-0.021913235,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GCH1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCH1)
GHRHR,GHRHR_P1,0.281876106,0.836181915,0.021901556,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GHRHR+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRHR)
MKNK2,MKNK2_P2,-0.311531025,0.850671186,-0.021881403,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MKNK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKNK2)
TNNC2,TNNC2,0.024755412,0.131251986,0.021831652,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TNNC2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNC2)
PHPT1,PHPT1,-0.196016666,0.774095045,-0.021798173,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PHPT1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHPT1)
PRKCQ,PRKCQ,-0.344672627,0.865211056,-0.021672305,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PRKCQ+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCQ)
RDH5,RDH5,-0.037592559,0.265218556,-0.021668204,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RDH5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RDH5)
AVPR2,AVPR2,-0.141900523,0.704234577,-0.021608988,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=AVPR2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=AVPR2)
