Gene,TSS,Phenotype,P Value,Gene Score,Hit Class,External
PPP1CA,PPP1CA_P1,-7.727458561,0.001626704,-21.54949774,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPP1CA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1CA)
NDUFB6,NDUFB6,-5.807443177,0.000195222,-21.54254346,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFB6+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB6)
NDUFA1,NDUFA1,-7.358342874,0.001205857,-21.47682619,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA1)
NDUFA11,NDUFA11,-5.838659839,0.000210058,-21.47261026,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFA11+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA11)
COX7C,COX7C,-6.316334693,0.000419346,-21.33296246,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=COX7C+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX7C)
NDUFB9,NDUFB9,-5.709979638,0.000185884,-21.30255216,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFB9+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB9)
SLC25A10,SLC25A10,-6.849106318,0.000776772,-21.29871001,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC25A10+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A10)
RXRB,RXRB,-8.89229949,0.004223512,-21.11322026,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RXRB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRB)
NDUFS8,NDUFS8,-5.604217081,0.000210058,-20.61040933,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFS8+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS8)
GUK1,GUK1,-9.113304015,0.005527789,-20.57281487,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GUK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUK1)
NDUFC1,NDUFC1_P1,-5.423363829,0.000190499,-20.17549537,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFC1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFC1)
CHEK1,CHEK1,-11.74647212,0.019799313,-20.00835186,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CHEK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK1)
SKP1,SKP1,-9.759501626,0.009444018,-19.76146044,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SKP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKP1)
NDUFA9,NDUFA9_ENST00000266544.5,-6.020439239,0.000540773,-19.66868469,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFA9+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA9)
KIF1A,KIF1A,-6.220469213,0.000749158,-19.44161981,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KIF1A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF1A)
NDUFS5,NDUFS5_P1,-7.166212399,0.002005947,-19.33215178,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFS5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS5)
UQCRQ,UQCRQ,-5.265864057,0.00022053,-19.25480213,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=UQCRQ+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCRQ)
LAMTOR3,LAMTOR3,-7.013107295,0.002048027,-18.85589137,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LAMTOR3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMTOR3)
NDUFA2,NDUFA2,-6.494518457,0.001372104,-18.59129277,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFA2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA2)
PPP1R2,PPP1R2,-10.47474272,0.01792496,-18.29457606,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPP1R2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R2)
YARS2,YARS2,-7.405195106,0.003539605,-18.15046792,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=YARS2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=YARS2)
CDK7,CDK7,-9.132734981,0.010891279,-17.92683835,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CDK7+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK7)
ACACA,ACACA,-5.920723883,0.000969552,-17.84168042,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ACACA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACA)
TRRAP,TRRAP,-8.927529465,0.011892937,-17.18291311,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TRRAP+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRRAP)
PSPH,PSPH_P2,-9.052087395,0.012752217,-17.14840386,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PSPH+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSPH)
AARS2,AARS2,-8.694721087,0.011085394,-17.00034355,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=AARS2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=AARS2)
ARPC4,ARPC4,-8.357548451,0.010891279,-16.40520834,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ARPC4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARPC4)
NDUFB7,NDUFB7,-4.522693221,0.00023716,-16.3945755,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFB7+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFB7)
PPP1CB,PPP1CB,-7.676411419,0.007455313,-16.3318272,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPP1CB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1CB)
SNAP23,SNAP23,-5.177934402,0.000710146,-16.30351535,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SNAP23+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAP23)
OGFOD1,OGFOD1,-6.655632024,0.003830058,-16.08529586,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=OGFOD1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGFOD1)
NARS2,NARS2,-4.312330325,0.000254963,-15.49645751,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NARS2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NARS2)
UROD,UROD,-11.10690283,0.041966919,-15.29523718,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=UROD+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=UROD)
CDC7,CDC7,-9.570385678,0.0256567,-15.22456192,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CDC7+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC7)
CIT,CIT,-4.75886116,0.000742766,-14.89118081,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CIT+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIT)
VDAC1,VDAC1,-4.408613482,0.000439332,-14.80062876,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=VDAC1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDAC1)
PTDSS1,PTDSS1,-5.401299697,0.001838938,-14.77489296,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PTDSS1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTDSS1)
LARS,LARS,-4.607808108,0.00069434,-14.55342929,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LARS+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LARS)
